"name","number"
"careful_bobolink",0.406830187188461
"uncalorific_bonobo",0.912875924259424
"marginal_eagle",0.293603372760117
"unterrestrial_slothbear",0.459065726259723
"illfated_anchovy",0.332394674187526
"wet_shrimp",0.65087046707049
"classless_drafthorse",0.258016780717298
"upstanding_tattler",0.478545248275623
"cranky_earwig",0.766310670645908
"uninspirable_indianglassfish",0.0842469143681228
"changeable_bream",0.875321330036968
"zealous_emperorshrimp",0.339072937844321
"brilliant_nandine",0.839440350187942
"waiting_agouti",0.34668348915875
"tricolour_xrayfish",0.333774930797517
"preagricultural_dromaeosaur",0.476351245073602
"rhombohedral_canary",0.892198335845023
"necessary_barnowl",0.864339470630512
"ethnological_oyster",0.389989543473348
"snobbish_capeghostfrog",0.777320698834956
